keggMetaboliteID	metaboliteName	pathwayEntry	pathwayName	pathwayClass	type
C01131	L-Rhamnulose 1-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01222	GDP-4-dehydro-6-deoxy-D-mannose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01355	Fructan	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01487	D-Allose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01720	L-Fuconate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01721	L-Fuculose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01768	(Alginate)n	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01934	L-Rhamnonate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C02431	L-Rhamnofuranose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C02492	1,4-beta-D-Mannan	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C02888	Sorbose 1-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C02962	D-Allose 6-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C02977	GDP-6-deoxy-D-talose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C02985	L-Fucose 1-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C02991	L-Rhamnono-1,4-lactone	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C03117	GDP-6-deoxy-D-mannose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C03267	beta-D-Fructose 2-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C03827	2-Dehydro-3-deoxy-L-fuconate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C03979	2-Dehydro-3-deoxy-L-rhamnonate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C05144	(beta-D-Mannuronate)n	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C05345	beta-D-Fructose 6-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C05378	beta-D-Fructose 1,6-bisphosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C05392	Oligouronide with 4-deoxy-alpha-L-erythro-hex-4-enopyranuronosyl group	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C06192	ADP-mannose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C11516	2-(alpha-D-Mannosyl)-3-phosphoglycerate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C11544	2-O-(alpha-D-Mannosyl)-D-glycerate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C18028	L-Fucono-1,5-lactone	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C18096	D-Allulose 6-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C20781	2,4-Diketo-3-deoxy-L-fuconate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00029	UDP-glucose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00031	D-Glucose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00052	UDP-alpha-D-galactose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00085	D-Fructose 6-phosphate	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00089	Sucrose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00095	D-Fructose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00103	D-Glucose 1-phosphate	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00111	Glycerone phosphate	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00116	Glycerol	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00118	D-Glyceraldehyde 3-phosphate	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00124	D-Galactose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00137	myo-Inositol	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00159	D-Mannose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00243	Lactose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00267	alpha-D-Glucose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00446	alpha-D-Galactose 1-phosphate	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00492	Raffinose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00577	D-Glyceraldehyde	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00668	alpha-D-Glucose 6-phosphate	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00794	D-Sorbitol	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00795	D-Tagatose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00880	D-Galactonate	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00984	alpha-D-Galactose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01097	D-Tagatose 6-phosphate	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01113	D-Galactose 6-phosphate	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01132	N-Acetyl-D-galactosamine	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01216	2-Dehydro-3-deoxy-D-galactonate	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01286	2-Dehydro-3-deoxy-6-phospho-D-galactonate	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01613	Stachyose	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01697	Galactitol	hsa00052	Galactose metabolism	Metabolism; Carbohydrate metabolism	metabolite
